web_browser,operating_sys,from_url,to_url,city,longitude,latitude,timezone,time_in,time_out
Mozilla,Windows,www.facebook.com,www.nasa.gov,Sliema,35.912498,14.5019,Europe/Malta,1970-01-01 00:00:01.331923288,1970-01-01 00:00:01.331922854
Mozilla,Linux,m.facebook.com,www.nasa.gov,Woodbridge,38.625702,-77.266502,America/New_York,1970-01-01 00:00:01.331923288,1970-01-01 00:00:01.331922854
Mozilla,Windows,t.co,www.nature.nps.gov,Grand Rapids,42.977699,-85.710999,America/New_York,1970-01-01 00:00:01.331923287,1970-01-01 00:00:01.331921833
Mozilla,Windows,t.co,www.whitehouse.gov,Chula Vista,32.636101,-117.0532,America/Los_Angeles,1970-01-01 00:00:01.331923291,1970-01-01 00:00:01.331920879
Mozilla,Windows,t.co,apod.nasa.gov,Curitiba,-25.4167,-49.25,America/Sao_Paulo,1970-01-01 00:00:01.331923292,1970-01-01 00:00:01.331923068
Mozilla,iPhone,lalaf.com,www.usno.navy.mil,Central District,22.2833,114.150002,Asia/Hong_Kong,1970-01-01 00:00:01.331923292,1970-01-01 00:00:01.317318039
Mozilla,iPhone,lalaf.com,www.ssd.noaa.gov,Central District,22.2833,114.150002,Asia/Hong_Kong,1970-01-01 00:00:01.331923292,1970-01-01 00:00:01.317318030
Mozilla,Windows,direct,www.cnic.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,1970-01-01 00:00:01.331923294,1970-01-01 00:00:01.331922709
Mozilla,Windows,direct,www.cnic.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,1970-01-01 00:00:01.331923295,1970-01-01 00:00:01.331922709
Mozilla,Windows,direct,www.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,1970-01-01 00:00:01.331923295,1970-01-01 00:00:01.331921801
Mozilla,Windows,t.co,www.cbo.gov,Cambridge,42.3741,-71.107201,America/New_York,1970-01-01 00:00:01.331923296,1970-01-01 00:00:01.331908890
Mozilla,Windows,www.facebook.com,www.nasa.gov,Birmingham,52.466702,-1.9167,Europe/London,1970-01-01 00:00:01.331923297,1970-01-01 00:00:01.331921292
Mozilla,Windows,direct,www.fda.gov,Paramus,40.9445,-74.07,America/New_York,1970-01-01 00:00:01.331923296,1970-01-01 00:00:01.301298479
Mozilla,Windows,www.facebook.com,www.nasa.gov,Lisboa,38.716702,-9.1333,Europe/Lisbon,1970-01-01 00:00:01.331923298,1970-01-01 00:00:01.331908247
Mozilla,Windows,www.facebook.com,www.nasa.gov,Lambersart,50.650002,3.0333,Europe/Paris,1970-01-01 00:00:01.331923298,1970-01-01 00:00:01.331922854
Mozilla,Windows,www.facebook.com,www.nasa.gov,Bodmin,50.4664,-4.7256,Europe/London,1970-01-01 00:00:01.331923300,1970-01-01 00:00:01.331922854
Mozilla,Macintosh,www.facebook.com,www.nasa.gov,Herning,56.133301,8.9833,Europe/Copenhagen,1970-01-01 00:00:01.331923299,1970-01-01 00:00:01.331922854
Mozilla,Windows,www.facebook.com,www.nasa.gov,Piombino,42.916698,10.5333,Europe/Rome,1970-01-01 00:00:01.331923301,1970-01-01 00:00:01.331922854
